,Pclass,Sex,Age,SibSp,Parch,Hometown,Boarded,Lifeboat,survived
0,3,male,22.0,1,0,"Bridgerule, Devon, England",Southampton,,0
1,1,female,38.0,1,0,"New York, New York, US",Cherbourg,4,1
2,3,female,26.0,0,0,"Jyväskylä, Finland",Southampton,14,1
3,1,female,35.0,1,0,"Scituate, Massachusetts, US",Southampton,D,1
4,3,male,35.0,0,0,"Birmingham, West Midlands, England",Southampton,,0
5,3,male,,0,0,"Cork, Ireland",Queenstown,,0
6,1,male,54.0,0,0,"Dorchester, Massachusetts, US",Southampton,,0
7,3,male,2.0,3,1,"Bjuv, Skåne, Sweden",Southampton,,0
8,3,female,27.0,0,2,"St. Charles, Illinois, US",Southampton,15,1
9,2,female,14.0,1,0,"Zahlé, Lebanon, Ottoman Empire",Cherbourg,,1
10,3,female,4.0,1,1,"Motala, Östergötland, Sweden",Southampton,13,1
11,1,female,58.0,0,0,"Youngstown, Ohio, US",Southampton,8,1
12,3,male,20.0,0,0,"St Austell, Cornwall, England",Southampton,,0
13,3,male,39.0,1,5,"Kisa, Östergötland, Sweden",Southampton,,0
14,3,female,14.0,0,0,"Salmunds, Gotland, Sweden",Southampton,,0
15,2,female,55.0,0,0,"Lucknow, British India, UK[note 3]",Southampton,13,1
16,3,male,2.0,4,1,"Athlone, Westmeath, Ireland",Queenstown,,0
17,2,male,,0,0,"Harrow, London, England",Southampton,14,1
18,3,female,31.0,1,0,"Pittem, Belgium",Southampton,,0
19,3,female,,0,0,"Tebnine, Lebanon",Cherbourg,C,1
20,2,male,35.0,0,0,"Liverpool, Merseyside, England, UK",Southampton,,0
21,2,male,34.0,0,0,"London, England, UK",Southampton,13,1
22,3,female,15.0,0,0,"Massbrook, Mayo, Ireland",Queenstown,13,1
23,1,male,28.0,0,0,"New Britain, Connecticut, US",Southampton,7,1
24,3,female,8.0,3,1,"Bjuv, Skåne, Sweden",Southampton,,0
25,3,female,38.0,1,5,"Alseda, Småland, Sweden",Southampton,15,1
26,3,male,,0,0,"Hadath, Lebanon",Cherbourg,,0
27,1,male,19.0,3,2,"Winnipeg, Manitoba, Canada",Southampton,,0
28,3,female,,0,0,"Limerick, Limerick, Ireland",Queenstown,,1
29,3,male,,0,0,"Unknown, Bulgaria",Southampton,,0
30,1,male,40.0,0,0,"Mexico City, Mexico",Cherbourg,,0
31,1,female,,1,0,"New York, New York, US",Cherbourg,6,1
32,3,female,,0,0,"Killaloe, Clare, Ireland",Queenstown,13,1
33,2,male,66.0,0,0,"Guernsey, Channel Islands",Southampton,,0
34,1,male,28.0,1,0,"New York, New York, US",Cherbourg,,0
35,1,male,42.0,1,0,"New York, New York, US",Southampton,,0
36,3,male,,0,0,"Tripoli, Lebanon",Cherbourg,15,1
37,3,male,21.0,0,0,"Penwithick, Cornwall, England",Southampton,,0
38,3,female,18.0,2,0,"Zwevezele, Belgium",Southampton,,0
39,3,female,14.0,1,0,"El-Hakour, Lebanon",Cherbourg,C,1
40,3,female,40.0,1,0,"Göteborg, Västergötland, Sweden",Southampton,,0
41,2,female,27.0,1,0,"Plymouth, Devon, England",Southampton,,0
42,3,male,,0,0,"Vetren, Bulgaria",Cherbourg,,0
43,2,female,3.0,1,2,"Paris, France",Cherbourg,14,1
44,3,female,19.0,0,0,"Kilmacowen, Sligo, Ireland",Queenstown,C,1
45,3,male,,0,0,"Pontardawe, West Glamorgan, Wales",Southampton,,0
46,3,male,,1,0,"Ballymahon, Longford, Ireland",Queenstown,,0
47,3,female,,0,0,"Ballydehob, Cork, Ireland",Queenstown,D,1
48,3,male,,2,0,"Hardîne, Lebanon",Cherbourg,,0
49,3,female,18.0,1,0,"Altdorf, Uri, Switzerland",Southampton,,0
50,3,male,7.0,4,1,"Ylihärmä, South Ostrobothnia, Finland",Southampton,,0
51,3,male,21.0,0,0,"Newton Abbot, Devon, England",Southampton,,0
52,1,female,49.0,1,0,"New York, New York, US",Cherbourg,3,1
53,2,female,29.0,1,0,"Manchester, England",Southampton,16,1
54,1,male,65.0,0,1,"Providence, Rhode Island, US",Southampton,,0
55,1,male,,0,0,"London, England, UK",Southampton,D,1
56,2,female,21.0,0,0,"Guernsey, Channel Islands",Southampton,12,1
57,3,male,28.5,0,0,"Kafr Mishki, Lebanon",Cherbourg,,0
58,2,female,5.0,1,2,"Bournemouth, Dorset, England",Southampton,10,1
59,3,male,11.0,5,2,"Fulham, England",Southampton,,0
60,3,male,22.0,0,0,"Kiğı, Turkey",Cherbourg,,0
61,1,female,38.0,0,0,"New York, New York, US",Southampton,6,1
62,1,male,45.0,1,0,"New York, New York, US",Southampton,,0
63,3,male,4.0,3,2,"Hällekis, Västergötland, Sweden",Southampton,,0
64,1,male,,0,0,"Cincinnati, Ohio, US",Cherbourg,,0
65,3,male,,1,1,"Hardîne, Lebanon",Cherbourg,C,1
66,2,female,29.0,0,0,"East Orange, New Jersey, US",Southampton,11,1
67,3,male,19.0,0,0,"Bristol, Avon, England",Southampton,,0
68,3,female,17.0,4,2,"Kullaa, Finland",Southampton,D,1
69,3,male,26.0,2,0,"Zürich, Switzerland",Southampton,,0
70,2,male,32.0,0,0,"St. Ives, Cornwall, England",Southampton,,0
71,3,female,16.0,5,2,"Fulham, England",Southampton,,0
72,2,male,21.0,0,0,"Fritham, Hampshire, England",Southampton,,0
73,3,male,26.0,1,0,"Agios Sostis, Peloponnese, Greece",Cherbourg,,0
74,3,male,32.0,0,0,"Hong Kong, China",Southampton,C,1
75,3,male,25.0,0,0,"Bergen, Norway",Southampton,,0
76,3,male,,0,0,"Debnevo, Troyan, Bulgaria",Southampton,,0
77,3,male,,0,0,"London, England",Southampton,,0
78,2,male,0.83,0,2,"Bangkok, Siam",Southampton,13,1
79,3,female,30.0,0,0,"New York City, New York, US",Southampton,13,1
80,3,male,22.0,0,0,"Ruiselede, West Flanders, Belgium",Southampton,,0
81,3,male,29.0,0,0,"Haaltert, East Flanders, Belgium",Southampton,11,1
82,3,female,,0,0,"Lahardane, Mayo, Ireland",Queenstown,13,1
83,1,male,28.0,0,0,"Montevideo, Uruguay",Southampton,,0
84,2,female,17.0,0,0,"Jersey, Channel Islands",Southampton,,1
85,3,female,33.0,3,0,"Kotka, Finland",Southampton,D,1
86,3,male,16.0,1,3,"Rotherfield, East Sussex, England",Southampton,,0
87,3,male,,0,0,"London, England",Southampton,,0
88,1,female,23.0,3,2,"Winnipeg, Manitoba, Canada",Southampton,10,1
89,3,male,24.0,0,0,"Milan[83], Italy",Southampton,,0
90,3,male,29.0,0,0,"London, England",Southampton,,0
91,3,male,20.0,0,0,"Kalfsnäs, Småland, Sweden",Southampton,,0
92,1,male,46.0,1,0,"Amenia, North Dakota, US",Southampton,,0
93,3,male,26.0,1,2,"Bartley Farm, Hampshire, England",Southampton,,0
94,3,male,59.0,0,0,"London, England",Southampton,,0
95,3,male,,0,0,"Heron's Ghyll, East Sussex, England",Southampton,,0
96,1,male,71.0,0,0,"New York, New York, US",Cherbourg,,0
97,1,male,23.0,0,1,"New York, New York, US",Cherbourg,7,1
98,2,female,34.0,0,1,"Southampton, Hampshire, England, UK",Southampton,,1
99,2,male,34.0,1,0,"Vitebsk, Russian Empire",Southampton,,0
100,3,female,28.0,0,0,"Vagovina, Croatia",Southampton,,0
101,3,male,,0,0,"Belish, Troyan, Bulgaria",Southampton,,0
102,1,male,21.0,0,1,"Brunswick, Maine, US",Southampton,,0
103,3,male,33.0,0,0,"Bäckebo, Småland, Sweden",Southampton,,0
104,3,male,37.0,2,0,"Ruotsinpyhtää, Finland",Southampton,,0
105,3,male,28.0,0,0,"Gumostnik, Lovec, Bulgaria",Southampton,,0
106,3,female,21.0,0,0,"Ålesund, Møre og Romsdal, Norway",Southampton,C,1
107,3,male,,0,0,"Bergen, Norway",Southampton,B,1
108,3,male,38.0,0,0,"Bosanska Krupa, Bosnia",Southampton,,0
109,3,female,,1,0,"Askeaton, Limerick, Ireland",Queenstown,16,1
110,1,male,47.0,0,0,"Worcester, Massachusetts, US",Southampton,,0
111,3,female,14.5,1,0,"Unknown, Syria",Cherbourg,,0
112,3,male,22.0,0,0,"Cambridge, Cambridgeshire, England",Southampton,,0
113,3,female,20.0,1,0,"Paavola, Northern Ostrobothnia, Finland",Southampton,,0
114,3,female,17.0,0,0,"Beirut, Lebanon",Cherbourg,,0
115,3,male,21.0,0,0,"Heinola, Finland",Southampton,,0
116,3,male,70.5,0,0,"Charleville, Cork, Ireland",Queenstown,,0
117,2,male,29.0,1,0,"Plymouth, Devon, England",Southampton,,0
118,1,male,24.0,0,1,"Montreal, Quebec, Canada",Cherbourg,,0
119,3,female,2.0,4,2,"Kisa, Östergötland, Sweden",Southampton,,0
120,2,male,21.0,2,0,"Fritham, Hampshire, England",Southampton,,0
121,3,male,,0,0,"Kingston upon Thames, London, England",Southampton,,0
122,2,male,32.5,1,0,"Zahlé, Lebanon, Ottoman Empire[note 7]",Cherbourg,,0
123,2,female,32.5,0,0,"Bude, Cornwall, England",Southampton,12,1
124,1,male,54.0,0,1,"Brunswick, Maine, US",Southampton,,0
125,3,male,12.0,1,0,"El-Hakour, Lebanon",Cherbourg,C,1
126,3,male,,0,0,"Craghbrien, Clare, Ireland",Queenstown,,0
127,3,male,24.0,0,0,"Trondheim, Norway",Southampton,13,1
128,3,female,,1,1,"Sar'al, Syria[81]",Cherbourg,C,1
129,3,male,45.0,0,0,"Effington Rut, South Dakota, US",Southampton,,0
130,3,male,33.0,0,0,"Hrastelnica, Croatia",Cherbourg,,0
131,3,male,20.0,0,0,"Funchal, Madeira Islands, Portugal",Southampton,,0
132,3,female,47.0,1,0,"St Austell, Cornwall, England",Southampton,,0
133,2,female,29.0,1,0,"Bromsgrove, Worcestershire, England",Southampton,10,1
134,2,male,25.0,0,0,"Porthallow, Cornwall, England",Southampton,,0
135,2,male,23.0,0,0,"Paris, France",Cherbourg,,0
136,1,female,19.0,0,2,"New York, New York, US",Southampton,5,1
137,1,male,37.0,1,0,"Scituate, Massachusetts, US",Southampton,,0
138,3,male,16.0,0,0,"Hedesunda, Gävleborg, Sweden",Southampton,,0
139,1,male,24.0,0,0,"Paris, France",Cherbourg,,0
140,3,female,,0,2,"Unknown, Lebanon",Cherbourg,,0
141,3,female,22.0,0,0,"Kisa, Östergötland, Sweden",Southampton,13,1
142,3,female,24.0,1,0,"Helsinki, Finland",Southampton,15,1
143,3,male,19.0,0,0,"Glanmire, Cork, Ireland",Queenstown,,0
144,2,male,18.0,0,0,"San Ambrosio, Córdoba, Argentina",Southampton,,0
145,2,male,19.0,1,1,"St. Ives, Cornwall, England",Southampton,,0
146,3,male,27.0,0,0,"Malmö, Skåne, Sweden",Southampton,A,1
147,3,female,9.0,2,2,"Rotherfield, East Sussex, England",Southampton,,0
148,2,male,36.5,0,2,"Nice, France",Southampton,,0
149,2,male,42.0,0,0,"London, England",Southampton,,0
150,2,male,51.0,0,0,"Jacksonville, Florida, US",Southampton,,0
151,1,female,22.0,1,0,"Isleworth, London, England, UK",Southampton,8,1
152,3,male,55.5,0,0,"Bournemouth, Dorset, England",Southampton,,0
153,3,male,40.5,0,2,"London, England",Southampton,,0
154,3,male,,0,0,"Sunnhordland, Norway",Southampton,,0
155,1,male,51.0,0,1,"Geneva, Switzerland",Cherbourg,,0
156,3,female,16.0,0,0,"Esker, Longford, Ireland",Queenstown,16,1
157,3,male,30.0,0,0,"London, England",Southampton,,0
158,3,male,,0,0,"Pisac, Croatia",Southampton,,0
159,3,male,,8,2,"Peterborough, Cambridgeshire, England",Southampton,,0
160,3,male,44.0,0,1,"Bournemouth, Dorset, England",Southampton,,0
161,2,female,40.0,0,0,"Aberdeen, Aberdeenshire, Scotland",Southampton,9,1
162,3,male,26.0,0,0,"Fridhemsberg, Halland, Sweden",Southampton,,0
163,3,male,17.0,0,0,"Brezik, Croatia",Southampton,,0
164,3,male,1.0,4,1,"Ylihärmä, South Ostrobothnia, Finland",Southampton,,0
165,3,male,9.0,0,2,"Strood, Kent, England",Southampton,C,1
166,1,female,,0,1,"St Leonards-on-Sea, East Sussex, England, UK",Southampton,6,1
167,3,female,45.0,1,4,"Hällekis, Västergötland, Sweden",Southampton,,0
168,1,male,,0,0,"New York, New York, US",Cherbourg,,0
169,3,male,28.0,0,0,"Hong Kong, China",Southampton,,0
170,1,male,61.0,0,0,"Brooklyn, New York, US",Belfast,,0
171,3,male,4.0,4,1,"Athlone, Westmeath, Ireland",Queenstown,,0
172,3,female,1.0,1,1,"St. Charles, Illinois, US",Southampton,15,1
173,3,male,21.0,0,0,"Mountain Home, Idaho, US",Southampton,,0
174,1,male,56.0,0,0,"Paris, France",Cherbourg,,0
175,3,male,18.0,1,1,"Grimshut, Småland, Sweden",Southampton,,0
176,3,male,,3,1,"Liévin, Pas-de-Calais, France",Southampton,,0
177,1,female,50.0,0,0,"Chicago, Illinois, US",Cherbourg,,0
178,2,male,30.0,0,0,"Auburn, New York, US",Southampton,,0
179,3,male,36.0,0,0,"New York City, New York, US",Southampton,,0
180,3,female,,8,2,"Peterborough, Cambridgeshire, England",Southampton,,0
181,2,male,,0,0,"Paris, France",Cherbourg,,0
182,3,male,9.0,4,2,"Alseda, Småland, Sweden",Southampton,,0
183,2,male,1.0,2,1,"Guntur, Madras Province, British India",Southampton,11,1
184,3,female,4.0,0,2,"Zürich, Switzerland",Southampton,2,1
185,1,male,,0,0,"Seattle, Washington, US",Southampton,,0
186,3,female,,1,0,"Pallasgreen, Limerick, Ireland",Queenstown,,1
187,1,male,45.0,0,0,"New York, New York, US",Southampton,9,1
188,3,male,40.0,1,1,"Carrowskehine, Mayo, Ireland",Queenstown,,0
189,3,male,36.0,0,0,"Bratina, Croatia",Southampton,,0
190,2,female,32.0,0,0,"Brooklyn, New York, US",Southampton,9,1
191,2,male,19.0,0,0,"St. Ives, Cornwall, England",Southampton,,0
192,3,female,19.0,1,0,"Eskilstrup, Denmark",Southampton,16,1
193,2,male,3.0,1,1,"Nice, France",Southampton,D,1
194,1,female,44.0,0,0,"Denver, Colorado, US",Cherbourg,6,1
195,1,female,58.0,0,0,"New York, New York, US",Cherbourg,6,1
196,3,male,,0,0,"Ballywilliam, Wexford, Ireland",Queenstown,,0
197,3,male,42.0,0,1,"Trondheim, Norway",Southampton,,0
198,3,female,,0,0,"Askeaton, Limerick, Ireland",Queenstown,15,1
199,2,female,24.0,0,0,"Paris, France",Southampton,,0
200,3,male,28.0,0,0,"Westrozebeke, Belgium",Southampton,,0
201,3,male,,8,2,"Peterborough, Cambridgeshire, England",Southampton,,0
202,3,male,34.0,0,0,"Munsala, Finland",Southampton,,0
203,3,male,45.5,0,0,"Hardîne, Lebanon",Cherbourg,,0
204,3,male,18.0,0,0,"London, England",Southampton,12,1
205,3,female,2.0,0,1,"Indiana Harbor, Indiana, US",Southampton,,0
206,3,male,32.0,1,0,"Kotka, Finland",Southampton,,0
207,3,male,26.0,0,0,"Fredericksburg, Virginia, US",Cherbourg,15,1
208,3,female,16.0,0,0,"Corglass, Longford, Ireland",Queenstown,16,1
209,1,male,40.0,0,0,"Glen Ridge, New Jersey, US",Cherbourg,7,1
210,3,male,24.0,0,0,"Buenos Aires, Argentina",Southampton,,0
211,2,female,35.0,0,0,"London, England, UK",Southampton,14,1
212,3,male,22.0,0,0,"Holsworthy, Devon, England",Southampton,,0
213,2,male,30.0,0,0,"Kølsen, Vorde Sogn, Denmark",Southampton,,0
214,3,male,,1,0,"Aughnacliffe, Longford, Ireland",Queenstown,,0
215,1,female,31.0,1,0,"Lexington, Massachusetts, US",Cherbourg,6,1
216,3,female,27.0,0,0,"Saarijärvi, Finland",Southampton,,1
217,2,male,42.0,1,0,"London, England",Southampton,,0
218,1,female,32.0,0,0,"Philadelphia, Pennsylvania, US",Cherbourg,8,1
219,2,male,30.0,0,0,"London, England",Southampton,,0
220,3,male,16.0,0,0,"London, England",Southampton,B,1
221,2,male,27.0,0,0,"Lake Arthur, New Mexico, US",Southampton,,0
222,3,male,51.0,0,0,"Dorking, Surrey, England",Southampton,,0
223,3,male,,0,0,"Unknown, Bulgaria",Southampton,,0
224,1,male,38.0,1,0,"New York, New York, US",Southampton,D,1
225,3,male,22.0,0,0,"Firtby, Finland",Southampton,,0
226,2,male,19.0,0,0,"Chelsea, London, England",Southampton,B,1
227,3,male,20.5,0,0,"Northlew, Devon, England",Southampton,,0
228,2,male,18.0,0,0,"Oslo, Norway",Southampton,,0
229,3,female,,3,1,"Liévin, Pas-de-Calais, France",Southampton,,0
230,1,female,35.0,1,0,"New York, New York, US",Southampton,D,1
231,3,male,29.0,0,0,"Nyköping, Södermanland, Sweden",Southampton,,0
232,2,male,59.0,0,0,"Hjo, Västergötland, Sweden",Southampton,10,0
233,3,female,5.0,4,2,"Alseda, Småland, Sweden",Southampton,15,1
234,2,male,24.0,0,0,"London, England",Southampton,,0
235,3,female,,0,0,"Thornton Heath, London, England",Southampton,,0
236,2,male,44.0,1,0,"Porthoustock, Cornwall, England",Southampton,,0
237,2,female,8.0,0,2,"Bishopstoke, Hampshire, England",Southampton,14,1
238,2,male,19.0,0,0,"Gunnislake, Cornwall, England",Southampton,,0
239,2,male,33.0,0,0,"Philadelphia, Pennsylvania, US",Southampton,,0
240,3,female,,1,0,"Unknown, Syria",Cherbourg,,0
241,3,female,,1,0,"Aghnacliffe, Longford, Ireland",Queenstown,16,1
242,2,male,29.0,0,0,"London, England",Southampton,,0
243,3,male,22.0,0,0,"Kauhajoki, Finland",Southampton,,0
244,3,male,30.0,0,0,"Ottawa, Ontario, Canada",Cherbourg,,0
245,1,male,44.0,2,0,"Fond du Lac, Wisconsin, US",Southampton,,0
246,3,female,25.0,0,0,"Stockholm, Sweden",Southampton,,0
247,2,female,24.0,0,2,"Detroit, Michigan, US",Southampton,4,1
248,1,male,37.0,1,1,"New York, New York, US",Southampton,5,1
249,2,male,54.0,1,0,"London, England, UK",Southampton,,0
250,3,male,,0,0,"Penarth, Glamorgan, Wales",Southampton,,0
251,3,female,29.0,1,1,"Indiana Harbor, Indiana, US",Southampton,,0
252,1,male,62.0,0,0,"London, England, UK",Southampton,,0
253,3,male,30.0,1,0,"Scranton, Pennsylvania, US",Southampton,,0
254,3,female,41.0,0,2,"Suistamo, Finland",Southampton,,0
255,3,female,29.0,0,2,"Tibnin, Lebanon",Cherbourg,C,1
256,1,female,,0,0,"New York, New York, US",Cherbourg,D,1
257,1,female,30.0,0,0,"London, England, UK",Southampton,8,1
258,1,female,35.0,0,0,"Germantown, Pennsylvania, US",Cherbourg,3,1
259,2,female,50.0,0,1,"Woodford County, Kentucky, US",Southampton,12,1
260,3,male,,0,0,"Caltra, Galway, Ireland",Queenstown,,0
261,3,male,3.0,4,2,"Alseda, Småland, Sweden",Southampton,15,1
262,1,male,52.0,1,1,"New York, New York, US",Southampton,,0
263,1,male,40.0,0,0,"Wallasey, Merseyside, England, UK",Southampton,,0
264,3,female,,0,0,"Clonown, Roscommon, Ireland",Queenstown,,0
265,2,male,36.0,0,0,"Slinfold, West Sussex, England",Southampton,,0
266,3,male,16.0,4,1,"Ylihärmä, South Ostrobothnia, Finland",Southampton,,0
267,3,male,25.0,1,0,"Stockholm, Uppland, Sweden",Southampton,15,1
268,1,female,58.0,0,1,"Greenwich, Connecticut, US",Southampton,3,1
269,1,female,35.0,0,0,"New York, New York, US",Cherbourg,8,1
270,1,male,,0,0,"Bryn Mawr, Pennsylvania, US",Southampton,,0
271,3,male,25.0,0,0,"Sundbyberg, Sweden",Southampton,15,1
272,2,female,41.0,0,1,"Wimbledon, London, England",Southampton,14,1
273,1,male,37.0,0,1,"Brooklyn, New York, US",Cherbourg,,0
274,3,female,,0,0,"Athenry, Galway, Ireland",Queenstown,16,1
275,1,female,63.0,1,0,"Hudson, New York, US",Cherbourg,10,1
276,3,female,45.0,0,0,"Stockholm, Sweden",Southampton,,0
277,2,male,,0,0,"Belfast, Ireland",Belfast,,0
278,3,male,7.0,4,1,"Athlone, Westmeath, Ireland",Queenstown,,0
279,3,female,35.0,1,1,"East Providence, Rhode Island, US",Southampton,A,1
280,3,male,65.0,0,0,"Bunmahon, Waterford, Ireland",Queenstown,,0
281,3,male,28.0,0,0,"Eslöv, Skåne, Sweden",Southampton,,0
282,3,male,16.0,0,0,"Heldergem, Haaltert, East Flanders, Belgium",Southampton,,0
283,3,male,19.0,0,0,"Liss, Hampshire, England",Southampton,B,1
284,1,male,,0,0,"Streatham, London, England, UK",Southampton,,0
285,3,male,33.0,0,0,"Galdovo, Croatia",Cherbourg,,0
286,3,male,30.0,0,0,"Aspelare, East Flanders, Belgium",Southampton,11,1
287,3,male,22.0,0,0,"Gumostnik, Lovech, Bulgaria",Southampton,,0
288,2,male,42.0,0,0,"Tokyo, Japan",Southampton,10,1
289,3,female,22.0,0,0,"Cortrasna, Cavan, Ireland",Queenstown,13,1
289,3,female,22.0,0,0,"Cortrasna, Cavan, Ireland",Queenstown,13,0
290,1,female,26.0,0,0,"London, England, UK",Southampton,6,1
291,1,female,19.0,1,0,"Dowagiac, Michigan, US",Cherbourg,7,1
292,2,male,36.0,0,0,"Montreal, Quebec, Canada",Cherbourg,,0
293,3,female,24.0,0,0,"Altdorf, Uri, Switzerland",Southampton,,0
294,3,male,24.0,0,0,"Unknown, Bulgaria",Southampton,,0
295,1,male,,0,0,"Chicago, Illinois, US",Cherbourg,,0
296,3,male,23.5,0,0,"Kfar Mechi, Syria",Cherbourg,,0
297,1,female,2.0,1,2,"Montreal, Quebec, Canada",Southampton,,0
298,1,male,,0,0,"Manchester, England, UK",Southampton,3,1
299,1,female,50.0,0,1,"Montreal, Quebec, Canada",Cherbourg,6,1
300,3,female,,0,0,"Cuilmullagh, Mayo, Ireland",Queenstown,16,1
301,3,male,,2,0,"Carrickatane, Tyrone, Ireland",Queenstown,16,1
302,3,male,19.0,0,0,"Hawthorne, New Jersey, US",Southampton,,0
303,2,female,,0,0,"Castleconnell, Limerick, Ireland[note 1]",Queenstown,10,1
304,3,male,,0,0,"Guernsey, Channel Islands, Channel Islands",Southampton,,0
305,1,male,0.92,1,2,"Montreal, Quebec, Canada",Southampton,11,1
306,1,female,,0,0,"Haverford, Pennsylvania, US",Cherbourg,4,1
307,1,female,17.0,1,0,"Madrid, Spain",Cherbourg,8,1
308,2,male,30.0,1,0,Russia,Cherbourg,,0
309,1,female,30.0,0,0,"London, England, UK",Cherbourg,1,1
310,1,female,24.0,0,0,"New York, New York, US",Cherbourg,7,1
311,1,female,18.0,2,2,"Cooperstown, New York, US",Cherbourg,4,1
312,2,female,26.0,1,1,"Minneapolis, Minnesota, US",Southampton,,0
313,3,male,28.0,0,0,"Vagovina, Croatia",Southampton,,0
314,2,male,43.0,1,1,"Ilford, Essex, England",Southampton,,0
315,3,female,26.0,0,0,"Ramkvilla, Småland, Sweden",Southampton,13,1
316,2,female,24.0,1,0,"Vitebsk, Russian Empire",Southampton,12,1
317,2,male,54.0,0,0,"Frankfort, Kentucky, US",Southampton,,0
318,1,female,31.0,0,2,"Youngstown, Ohio, US",Southampton,8,1
319,1,female,40.0,1,1,"Tuxedo Park, New York, US",Cherbourg,3,1
320,3,male,22.0,0,0,"Week St Mary, Cornwall, England",Southampton,,0
321,3,male,27.0,0,0,"Unknown, Bulgaria",Southampton,,0
