Column,Pclass,Sex,Age,SibSp,Parch,Country,Boarded,Lifeboat,survived
434,1,male,50,1,0,United States of America,Cherbourg,,0
435,1,female,14,1,2,United States of America,Southampton,4,1
436,3,female,21,2,2,United Kingdom,Southampton,,0
437,2,female,24,2,3,United Kingdom,Southampton,4,1
438,1,male,64,1,4,Canada,Southampton,,0
439,2,male,31,0,0,Sweden,Southampton,,0
440,2,female,45,1,1,United Kingdom,Southampton,14,1
441,3,male,20,0,0,Belgium,Southampton,,0
442,3,male,25,1,0,Sweden,Southampton,,0
443,2,female,28,0,0,Spain,Southampton,9,1
444,3,male,,0,0,Norway,Southampton,13,1
445,1,male,4,0,2,United States of America,Southampton,5,1
446,2,female,13,0,1,United Kingdom,Southampton,14,1
447,1,male,34,0,0,United States of America,Southampton,7,1
448,3,female,5,2,1,Lebanon,Cherbourg,C,1
449,1,male,52,0,0,Canada,Southampton,6,1
450,2,male,36,1,2,United Kingdom,Southampton,,0
451,3,male,,1,0,Norway,Southampton,,0
452,1,male,30,0,0,United States of America,Southampton,,0
453,1,male,49,1,0,France,Cherbourg,5,1
454,3,male,,0,0,United Kingdom,Southampton,,0
455,3,male,29,0,0,Croatia,Cherbourg,15,1
456,1,male,65,0,0,United States of America,Cherbourg,,0
457,1,female,,1,0,United States of America,Southampton,8,1
458,2,female,50,0,0,United States of America,Southampton,9,1
459,3,male,,0,0,Ireland,Queenstown,,0
460,1,male,48,0,0,United States of America,Southampton,3,1
461,3,male,34,0,0,United Kingdom,Southampton,,0
462,1,male,47,0,0,United Kingdom,Southampton,,0
463,2,male,48,0,0,Denmark,Southampton,,0
464,3,male,,0,0,United Kingdom,Southampton,,0
465,3,male,38,0,0,Portugal,Southampton,,0
466,2,male,,0,0,Ireland,Belfast,,0
467,1,male,56,0,0,United Kingdom,Southampton,,0
468,3,male,,0,0,Ireland,Queenstown,,0
469,3,female,1,2,1,Lebanon,Cherbourg,C,1
470,3,male,,0,0,United States of America,Southampton,A,0
471,3,male,38,0,0,Croatia,Southampton,,0
472,2,female,33,1,2,United Kingdom,Southampton,10,1
473,2,female,23,0,0,United States of America,Southampton,11,1
474,3,female,22,0,0,Finland,Southampton,,0
475,1,male,,0,0,United States of America,Southampton,,0
476,2,male,34,1,0,United States of America,Southampton,,0
477,3,male,29,1,0,United Kingdom,Southampton,,0
478,3,male,22,0,0,Sweden,Southampton,,0
479,3,female,2,0,1,Finland,Southampton,15,1
480,3,male,9,5,2,United Kingdom,Southampton,,0
481,2,male,,0,0,United Kingdom,Belfast,,0
482,3,male,50,0,0,United Kingdom,Southampton,,0
483,3,female,63,0,0,Finland,Southampton,15,1
484,1,male,25,1,0,United States of America,Cherbourg,7,1
485,3,female,,3,1,France,Southampton,,0
486,1,female,35,1,0,United States of America,Southampton,D,1
487,1,male,58,0,0,United States of America,Cherbourg,,0
488,3,male,30,0,0,United Kingdom,Southampton,,0
489,3,male,9,1,1,United Kingdom,Southampton,2,1
490,3,male,,1,0,Norway,Southampton,,0
491,3,male,21,0,0,South Africa,Southampton,,0
492,1,male,55,0,0,Canada,Southampton,,0
493,1,male,71,0,0,Argentina,Cherbourg,,0
494,3,male,21,0,0,United Kingdom,Southampton,,0
495,3,male,,0,0,Lebanon,Cherbourg,,0
496,1,female,54,1,0,United States of America,Cherbourg,4,1
497,3,male,,0,0,United Kingdom,Southampton,,0
498,1,female,25,1,2,Canada,Southampton,,0
499,3,male,24,0,0,Sweden,Southampton,,0
500,3,male,17,0,0,Croatia,Southampton,,0
501,3,female,21,0,0,Ireland,Queenstown,,0
502,3,female,,0,0,Ireland,Queenstown,,0
503,3,female,37,0,0,Finland,Southampton,,0
504,1,female,16,0,0,Canada,Southampton,8,1
505,1,male,18,1,0,Spain,Cherbourg,,0
506,2,female,33,0,2,United Kingdom,Southampton,11,1
507,1,male,,0,0,United States of America,Southampton,9,1
508,3,male,28,0,0,Norway,Southampton,,0
509,3,male,26,0,0,China,Southampton,14,1
510,3,male,29,0,0,Ireland,Queenstown,B,1
511,3,male,,0,0,United States of America,Southampton,,0
512,1,male,36,0,0,United States of America,Southampton,7,1
513,1,female,54,1,0,United States of America,Cherbourg,6,1
514,3,male,24,0,0,Bulgaria,Southampton,,0
515,1,male,47,0,0,United States of America,Southampton,,0
516,2,female,34,0,0,United States of America,Southampton,14,1
517,3,male,,0,0,Ireland,Queenstown,,0
518,2,female,36,1,0,United Kingdom,Southampton,11,1
519,3,male,32,0,0,Croatia,Southampton,,0
520,1,female,30,0,0,Canada,Southampton,3,1
521,3,male,22,0,0,Slovenia,Southampton,,0
522,3,male,,0,0,Lebanon,Cherbourg,,0
523,1,female,44,0,1,United States of America,Cherbourg,4,1
524,3,male,,0,0,Lebanon,Cherbourg,,0
525,3,male,40,0,0,Ireland,Queenstown,,0
526,2,female,50,0,0,United Kingdom,Southampton,13,1
527,1,male,,0,0,United States of America,Southampton,,0
528,3,male,39,0,0,United States of America,Southampton,,0
529,2,male,23,2,1,United States of America,Southampton,,0
530,2,female,2,1,1,United Kingdom,Southampton,11,1
531,3,male,,0,0,Lebanon,Cherbourg,,0
532,3,male,17,1,1,Lebanon,Cherbourg,,0
533,3,female,,0,2,Syria,Cherbourg,C,1
534,3,female,30,0,0,Croatia,Southampton,,0
535,2,female,7,0,2,United Kingdom,Southampton,14,1
536,1,male,45,0,0,United States of America,Southampton,,0
537,1,female,30,0,0,United States of America,Cherbourg,2,1
538,3,male,,0,0,United Kingdom,Southampton,,0
539,1,female,22,0,2,Switzerland,Cherbourg,5,1
540,1,female,36,0,2,United States of America,Southampton,7,1
541,3,female,9,4,2,Sweden,Southampton,,0
542,3,female,11,4,2,Sweden,Southampton,,0
543,2,male,32,1,0,United States of America,Southampton,13,1
544,1,male,50,1,0,United States of America,Cherbourg,,0
545,1,male,64,0,0,United Kingdom,Southampton,,0
546,2,female,19,1,0,United Kingdom,Southampton,13,1
547,2,male,,0,0,Spain,Cherbourg,9,1
548,3,male,33,1,1,United Kingdom,Southampton,,0
549,2,male,8,1,1,United Kingdom,Southampton,14,1
550,1,male,17,0,2,United States of America,Cherbourg,B,1
551,2,male,27,0,0,United Kingdom,Southampton,,0
552,3,male,,0,0,Ireland,Queenstown,,0
553,3,male,22,0,0,Lebanon,Cherbourg,6,1
554,3,female,22,0,0,Sweden,Southampton,C,1
555,1,male,62,0,0,Canada,Southampton,,0
556,1,female,48,1,0,United Kingdom,Cherbourg,1,1
558,1,female,39,1,1,United States of America,Southampton,8,1
559,3,female,36,1,0,United States of America,Southampton,13,1
560,3,male,,0,0,Ireland,Queenstown,,0
561,3,male,40,0,0,Bosnia,Southampton,,0
562,2,male,28,0,0,United Kingdom,Southampton,,0
563,3,male,,0,0,United Kingdom,Southampton,,0
564,3,female,,0,0,United Kingdom,Southampton,,0
565,3,male,24,2,0,United Kingdom,Southampton,,0
566,3,male,19,0,0,Bulgaria,Southampton,,0
567,3,female,29,0,4,Sweden,Southampton,,0
568,3,male,,0,0,Lebanon,Cherbourg,,0
569,3,male,32,0,0,Sweden,Southampton,15,1
570,2,male,62,0,0,United Kingdom,Southampton,15,1
571,1,female,53,2,0,United States of America,Southampton,2,1
572,1,male,36,0,0,United States of America,Southampton,5,1
573,3,female,,0,0,Ireland,Queenstown,D,1
574,3,male,16,0,0,United Kingdom,Southampton,,0
575,3,male,19,0,0,United Kingdom,Southampton,,0
576,2,female,34,0,0,United Kingdom,Southampton,12,1
577,1,female,39,1,0,United States of America,Cherbourg,11,1
578,3,female,,1,0,Syria,Cherbourg,,0
579,3,male,32,0,0,Finland,Southampton,15,1
580,2,female,25,1,1,United Kingdom,Southampton,12,1
581,1,female,39,1,1,United States of America,Cherbourg,4,1
582,2,male,54,0,0,United States of America,Southampton,,0
583,1,male,36,0,0,Canada,Southampton,,0
585,1,female,18,0,2,United States of America,Southampton,8,1
586,2,male,47,0,0,United Kingdom,Southampton,,0
587,1,male,60,1,1,Switzerland,Cherbourg,5,1
588,3,male,22,0,0,Wales,Southampton,,0
589,3,male,,0,0,United Kingdom,Southampton,,0
590,3,male,35,0,0,Finland,Southampton,,0
591,1,female,52,1,0,France,Cherbourg,4,1
592,3,male,47,0,0,United Kingdom,Southampton,,0
593,3,female,,0,2,Ireland,Queenstown,,0
594,2,male,37,1,0,United Kingdom,Southampton,,0
595,3,male,36,1,1,Belgium,Southampton,,0
596,2,female,,0,0,United Kingdom,Southampton,11,1
597,3,male,49,0,0,United Kingdom,Southampton,,0
598,3,male,,0,0,Syria,Cherbourg,,0
599,1,male,49,1,0,United Kingdom,Cherbourg,1,1
600,2,female,24,2,1,United Kingdom,Southampton,12,1
601,3,male,,0,0,Bulgaria,Southampton,,0
602,1,male,,0,0,United States of America,Southampton,,0
603,3,male,44,0,0,Germany,Southampton,,0
604,1,male,35,0,0,United States of America,Southampton,15,1
605,3,male,36,1,0,Sweden,Southampton,A,0
606,3,male,30,0,0,Croatia,Southampton,,0
607,1,male,27,0,0,United States of America,Southampton,3,1
608,2,female,22,1,2,France,Cherbourg,14,1
609,1,female,40,0,0,United States of America,Southampton,3,1
610,3,female,39,1,5,Sweden,Southampton,,0
611,3,male,,0,0,Portugal,Southampton,,0
612,3,female,,1,0,Ireland,Queenstown,16,1
613,3,male,,0,0,Ireland,Queenstown,,0
614,3,male,35,0,0,United Kingdom,Southampton,,0
615,2,female,24,1,2,United Kingdom,Southampton,9,1
616,3,male,34,1,1,Sweden,Southampton,,0
617,3,female,26,1,0,United States of America,Southampton,,0
618,2,female,4,2,1,India,Southampton,11,1
619,2,male,26,0,0,United Kingdom,Southampton,,0
620,3,male,27,1,0,Lebanon,Cherbourg,,0
621,1,male,42,1,0,United States of America,Southampton,5,1
622,3,male,20,1,1,Lebanon,Cherbourg,C,1
623,3,male,21,0,0,Denmark,Southampton,,0
624,3,male,21,0,0,Wales,Southampton,,0
625,1,male,61,0,0,United States of America,Southampton,,0
626,2,male,57,0,0,United Kingdom,Queenstown,,0
627,1,female,21,0,0,United States of America,Cherbourg,10,1
628,3,male,26,0,0,Bulgaria,Southampton,,0
629,3,male,,0,0,Ireland,Queenstown,,0
630,1,male,80,0,0,United Kingdom,Southampton,B,1
631,3,male,51,0,0,Sweden,Southampton,,0
632,1,male,32,0,0,Switzerland,Southampton,3,1
633,1,male,,0,0,Ireland,Belfast,,0
634,3,female,9,3,2,Sweden,Southampton,,0
635,2,female,28,0,0,United Kingdom,Southampton,13,1
636,3,male,32,0,0,Finland,Southampton,,0
637,2,male,31,1,1,United Kingdom,Southampton,,0
638,3,female,41,0,5,Finland,Southampton,,0
639,3,male,,1,0,United Kingdom,Southampton,,0
640,3,male,20,0,0,Denmark,Southampton,,0
641,1,female,24,0,0,France,Cherbourg,9,1
642,3,female,2,3,2,Sweden,Southampton,,0
643,3,male,,0,0,China,Southampton,C,1
644,3,female,1,2,1,Lebanon,Cherbourg,C,1
645,1,male,48,1,0,United States of America,Cherbourg,3,1
646,3,male,19,0,0,Croatia,Southampton,,0
647,1,male,56,0,0,Switzerland,Southampton,3,1
648,3,male,,0,0,United Kingdom,Southampton,,0
649,3,female,23,0,0,United Kingdom,Southampton,C,1
650,3,male,,0,0,Bulgaria,Southampton,,0
651,2,female,18,0,1,United Kingdom,Southampton,,1
652,3,male,21,0,0,Norway,Southampton,,0
653,3,female,,0,0,Ireland,Queenstown,13,1
654,3,female,18,0,0,Ireland,Queenstown,,0
655,2,male,24,2,0,United Kingdom,Southampton,,0
656,3,male,,0,0,Bulgaria,Southampton,,0
657,3,female,32,1,1,Ireland,Queenstown,,0
658,2,male,23,0,0,United Kingdom,Southampton,,0
659,1,male,58,0,2,United States of America,Cherbourg,,0
660,1,male,50,2,0,United Kingdom,Southampton,5,1
661,3,male,40,0,0,Lebanon,Cherbourg,,0
662,1,male,47,0,0,Ireland,Southampton,,0
663,3,male,36,0,0,Bulgaria,Southampton,,0
664,3,male,20,1,0,Finland,Southampton,15,1
665,2,male,32,2,0,United Kingdom,Southampton,,0
666,2,male,25,0,0,United Kingdom,Southampton,,0
667,3,male,,0,0,Norway,Southampton,,0
668,3,male,43,0,0,Estonia,Southampton,,0
669,1,female,,1,0,United Kingdom,Southampton,5,1
670,2,female,40,1,1,South Africa,Southampton,14,1
671,1,male,31,1,0,Canada,Southampton,,0
672,2,male,70,0,0,United Kingdom,Southampton,,0
673,2,male,31,0,0,United Kingdom,Southampton,9,1
674,2,male,,0,0,United Kingdom,Belfast,,0
675,3,male,18,0,0,Sweden,Southampton,,0
676,3,male,24,0,0,United Kingdom,Southampton,,0
677,3,female,18,0,0,Finland,Southampton,15,1
678,3,female,43,1,6,United Kingdom,Southampton,,0
679,1,male,36,0,1,United States of America,Cherbourg,3,1
680,3,female,,0,0,Ireland,Queenstown,,0
681,1,male,27,0,0,Egypt,Cherbourg,3,1
682,3,male,20,0,0,Norway,Southampton,,0
683,3,male,14,5,2,United Kingdom,Southampton,,0
684,2,male,60,1,1,South Africa,Southampton,,0
685,2,male,25,1,2,France,Cherbourg,,0
686,3,male,14,4,1,Finland,Southampton,,0
687,3,male,19,0,0,Croatia,Southampton,,0
688,3,male,18,0,0,Sweden,Southampton,,0
689,1,female,15,0,1,United States of America,Southampton,2,1
690,1,male,31,1,0,Canada,Southampton,3,1
691,3,female,4,0,1,Slovenia,Southampton,15,1
692,3,male,,0,0,China,Southampton,C,1
693,3,male,25,0,0,Syria,Cherbourg,,0
694,1,male,60,0,0,United States of America,Southampton,,0
695,2,male,52,0,0,United States of America,Southampton,,0
696,3,male,44,0,0,Ireland,Queenstown,,0
696,3,male,44,0,0,Ireland,Queenstown,,0
697,3,female,,0,0,Ireland,Queenstown,16,1
698,1,male,49,1,1,United States of America,Cherbourg,,0
699,3,male,42,0,0,Norway,Southampton,,0
700,1,female,18,1,0,United States of America,Cherbourg,4,1
701,1,male,35,0,0,United States of America,Southampton,5,1
702,3,female,18,0,1,Lebanon,Cherbourg,,0
703,3,male,25,0,0,Ireland,Queenstown,,0
704,3,male,26,1,0,Denmark,Southampton,,0
705,2,male,39,0,0,United Kingdom,Southampton,,0
706,2,female,45,0,0,United Kingdom,Southampton,9,1
707,1,male,42,0,0,United States of America,Southampton,5,1
708,1,female,22,0,0,United Kingdom,Southampton,11,1
709,3,male,,1,1,Lebanon,Cherbourg,C,1
710,1,female,24,0,0,Belgium,Cherbourg,6,1
711,1,male,,0,0,United States of America,Southampton,,0
712,1,male,48,1,0,United Kingdom,Southampton,5,1
713,3,male,29,0,0,United States of America,Southampton,,0
714,2,male,52,0,0,United States of America,Southampton,,0
715,3,male,19,0,0,Norway,Southampton,,0
716,1,female,38,0,0,United States of America,Cherbourg,4,1
717,2,female,27,0,0,United Kingdom,Southampton,16,1
718,3,male,,0,0,Ireland,Queenstown,,0
719,3,male,33,0,0,United States of America,Southampton,,0
720,2,female,6,0,1,United Kingdom,Southampton,11,1
721,3,male,17,1,0,Denmark,Southampton,,0
722,2,male,34,0,0,Ireland,Southampton,,0
723,2,male,50,0,0,United Kingdom,Southampton,,0
724,1,male,27,1,0,United States of America,Southampton,5,1
725,3,male,20,0,0,Croatia,Southampton,,0
726,2,female,30,3,0,United States of America,Southampton,12,1
727,3,female,,0,0,Ireland,Queenstown,16,1
728,2,male,25,1,0,Sweden,Southampton,,0
729,3,female,25,1,0,Finland,Southampton,,0
730,1,female,29,0,0,United States of America,Southampton,2,1
731,3,male,11,0,0,United States of America,Cherbourg,,0
732,2,male,,0,0,Ireland,Belfast,,0
733,2,male,23,0,0,United Kingdom,Southampton,,0
734,2,male,23,0,0,United Kingdom,Southampton,,0
735,3,male,28,0,0,Wales,Southampton,,0
736,3,female,48,1,3,United Kingdom,Southampton,,0
737,1,male,35,0,0,United States of America,Cherbourg,3,1
738,3,male,,0,0,Bulgaria,Southampton,,0
739,3,male,,0,0,Bulgaria,Southampton,,0
740,1,male,,0,0,United Kingdom,Southampton,3,1
741,1,male,36,1,0,United Kingdom,Southampton,,0
742,1,female,21,2,2,United States of America,Cherbourg,4,1
743,3,male,24,1,0,Ireland,Southampton,,0
744,3,male,31,0,0,Finland,Southampton,9,1
745,1,male,70,1,1,United States of America,Southampton,,0
746,3,male,16,1,1,United States of America,Southampton,,0
747,2,female,30,0,0,Finland,Southampton,10,1
748,1,male,19,1,0,United States of America,Southampton,,0
749,3,male,31,0,0,United States of America,Queenstown,,0
750,2,female,4,1,1,United Kingdom,Southampton,14,1
751,3,male,6,0,1,Russia,Southampton,14,1
752,3,male,33,0,0,Belgium,Southampton,,0
753,3,male,23,0,0,Bulgaria,Southampton,,0
754,2,female,48,1,2,United Kingdom,Southampton,9,1
755,2,male,1,1,1,United States of America,Southampton,4,1
756,3,male,28,0,0,Sweden,Southampton,,0
757,2,male,18,0,0,United Kingdom,Southampton,,0
758,3,male,34,0,0,United Kingdom,Southampton,,0
759,1,female,33,0,0,Canada,Southampton,8,1
760,3,male,,0,0,United Kingdom,Southampton,,0
761,3,male,41,0,0,Finland,Southampton,,0
762,3,male,20,0,0,Lebanon,Cherbourg,15,1
763,1,female,36,1,2,United States of America,Southampton,4,1
764,3,male,16,0,0,Sweden,Southampton,,0
765,1,female,51,1,0,United States of America,Cherbourg,10,1
766,1,male,,0,0,United States of America,Cherbourg,,0
767,3,female,30,0,0,Ireland,Queenstown,,0
768,3,male,,1,0,Ireland,Queenstown,,0
769,3,male,32,0,0,Norway,Southampton,,0
770,3,male,24,0,0,Belgium,Southampton,,0
771,3,male,48,0,0,United States of America,Southampton,,0
772,2,female,57,0,0,United Kingdom,Southampton,,0
773,3,male,,0,0,Lebanon,Cherbourg,,0
774,2,female,54,1,3,United Kingdom,Southampton,4,1
775,3,male,18,0,0,Sweden,Southampton,,0
776,3,male,,0,0,Ireland,Queenstown,,0
777,3,female,5,0,0,United States of America,Southampton,13,1
778,3,male,,0,0,Ireland,Queenstown,,0
779,1,female,43,0,1,United States of America,Southampton,2,1
780,3,female,13,0,0,Lebanon,Cherbourg,C,1
781,1,female,17,1,0,Canada,Southampton,3,1
782,1,male,29,0,0,United States of America,Southampton,,0
783,3,male,,1,2,United Kingdom,Southampton,,0
784,3,male,25,0,0,Argentina,Southampton,,0
785,3,male,25,0,0,United Kingdom,Southampton,,0
786,3,female,18,0,0,Finland,Southampton,16,1
787,3,male,8,4,1,Ireland,Queenstown,,0
788,3,male,1,1,2,United Kingdom,Southampton,10,1
789,1,male,46,0,0,France,Cherbourg,,0
790,3,male,,0,0,Ireland,Queenstown,,0
791,2,male,16,0,0,United Kingdom,Southampton,,0
792,3,female,,8,2,United Kingdom,Southampton,,0
793,1,male,,0,0,United States of America,Cherbourg,14,0
794,3,male,25,0,0,Bulgaria,Southampton,,0
795,2,male,39,0,0,United States of America,Southampton,,0
796,1,female,49,0,0,United States of America,Southampton,8,1
797,3,female,31,0,0,Croatia,Southampton,,1
798,3,male,30,0,0,Lebanon,Cherbourg,,0
799,3,female,30,1,1,Belgium,Southampton,,0
800,2,male,34,0,0,United Kingdom,Southampton,,0
801,2,female,31,1,1,United Kingdom,Southampton,14,1
802,1,male,11,1,2,United States of America,Southampton,4,1
803,3,male,1,0,1,Lebanon,Cherbourg,16,1
804,3,male,27,0,0,United States of America,Southampton,15,1
805,3,male,31,0,0,United States of America,Southampton,,0
806,1,male,39,0,0,Ireland,Belfast,,0
807,3,female,18,0,0,Sweden,Southampton,,0
808,2,male,39,0,0,United Kingdom,Southampton,,0
809,1,female,33,1,0,United States of America,Southampton,5,1
810,3,male,26,0,0,United Kingdom,Southampton,,0
811,3,male,39,0,0,United Kingdom,Southampton,,0
812,2,male,35,0,0,United Kingdom,Southampton,,0
813,3,female,6,4,2,Sweden,Southampton,,0
814,3,male,30,0,0,Canada,Southampton,,0
815,1,male,,0,0,United Kingdom,Southampton,,0
816,3,female,23,0,0,Finland,Southampton,,0
817,2,male,31,1,1,Canada,Cherbourg,,0
818,3,male,43,0,0,Sweden,Southampton,,0
819,3,male,10,3,2,Sweden,Southampton,,0
820,1,female,52,1,1,Canada,Southampton,3,1
821,3,male,27,0,0,Croatia,Southampton,15,1
822,1,male,38,0,0,Netherlands,Southampton,,0
823,3,female,27,0,1,Russia,Southampton,14,1
824,3,male,2,4,1,Finland,Southampton,,0
825,3,male,,0,0,Ireland,Queenstown,,0
826,3,male,,0,0,China,Southampton,,0
827,2,male,1,0,2,Canada,Cherbourg,10,1
828,3,male,,0,0,United States of America,Queenstown,15,1
829,1,female,62,0,0,United States of America,Southampton,6,1
830,3,female,15,1,0,Lebanon,Cherbourg,C,1
831,2,male,1,1,1,United Kingdom,Southampton,4,1
832,3,male,,0,0,Lebanon,Cherbourg,,0
833,3,male,23,0,0,Sweden,Southampton,,0
834,3,male,18,0,0,United Kingdom,Southampton,,0
835,1,female,39,1,1,United States of America,Cherbourg,14,1
836,3,male,21,0,0,Slovenia,Southampton,,0
837,3,male,,0,0,United Kingdom,Southampton,,0
838,3,male,32,0,0,China,Southampton,C,1
839,1,male,,0,0,France,Cherbourg,7,1
840,3,male,20,0,0,Finland,Southampton,,0
841,2,male,16,0,0,United Kingdom,Southampton,,0
842,1,female,30,0,0,United States of America,Southampton,4,1
843,3,male,34,0,0,Greece,Cherbourg,,0
844,3,male,17,0,0,Croatia,Southampton,,0
845,3,male,42,0,0,United States of America,Southampton,,0
846,3,male,,8,2,United Kingdom,Southampton,,0
847,3,male,35,0,0,Bulgaria,Southampton,,0
848,2,male,28,0,1,United Kingdom,Southampton,,0
849,1,female,,1,0,France,Cherbourg,5,1
850,3,male,4,4,2,Sweden,Southampton,,0
851,3,male,74,0,0,Sweden,Southampton,,0
852,3,female,9,1,1,Lebanon,Cherbourg,,0
853,1,female,16,0,1,France,Cherbourg,9,1
854,2,female,44,1,0,United Kingdom,Southampton,,0
855,3,female,18,0,1,United Kingdom,Southampton,13,1
856,1,female,45,1,1,United States of America,Southampton,8,1
857,1,male,51,0,0,Peru,Southampton,A,1
858,3,female,24,0,3,Lebanon,Cherbourg,C,1
859,3,male,,0,0,Lebanon,Cherbourg,,0
860,3,male,41,2,0,United States of America,Southampton,,0
861,2,male,21,1,0,United Kingdom,Southampton,,0
862,1,female,48,0,0,United States of America,Southampton,8,1
863,3,female,,8,2,United Kingdom,Southampton,,0
864,2,male,24,0,0,United Kingdom,Southampton,,0
